epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.35038,1.76182,4.68045,1.90608,0.00316,0.5,0.0199,0.01393,2.02895,3.38432,2.55477,0,0,0
2,7.40822,1.18168,4.27813,1.65244,0.00338,0.5,0.01777,0.01244,2.03103,3.3707,2.56106,7.65955e-06,7.65955e-06,7.65955e-06
3,8.57173,1.32766,4.4787,1.71064,0.00323,0.5,0.01555,0.01088,2.05126,3.36756,2.55984,1.52582e-05,1.52582e-05,1.52582e-05
4,9.8459,1.53258,4.57926,2.07613,0.00316,0.5,0.02369,0.01658,2.05427,3.36649,2.55366,2.27959e-05,2.27959e-05,2.27959e-05
5,11.1161,1.27597,4.48901,1.69941,0.00309,0.5,0.01913,0.01531,2.01972,3.31914,2.4439,3.02728e-05,3.02728e-05,3.02728e-05
6,12.4214,1.53866,4.78223,1.88738,0.00296,0.5,0.01658,0.01161,2.03121,3.32101,2.44916,3.76887e-05,3.76887e-05,3.76887e-05
7,13.7441,1.22856,4.25783,1.63625,0.02018,0.66667,0.03881,0.01728,1.80859,3.31778,2.33239,4.50437e-05,4.50437e-05,4.50437e-05
8,15.0366,1.91748,5.18572,2.15541,0.02377,0.66667,0.09087,0.02446,1.78611,3.33309,2.2875,5.23378e-05,5.23378e-05,5.23378e-05
9,15.9753,1.53697,4.58655,1.88544,0.04473,0.83333,0.12318,0.04054,1.52892,3.36765,2.11503,5.9571e-05,5.9571e-05,5.9571e-05
10,16.9776,0.99126,4.08197,1.40738,0.05325,0.83333,0.09728,0.03287,1.43407,3.37829,2.08396,6.67434e-05,6.67434e-05,6.67434e-05
11,17.8453,0.73794,4.02512,1.23059,0.05592,0.83333,0.12149,0.04815,1.36466,3.40927,2.02898,7.38548e-05,7.38548e-05,7.38548e-05
12,18.75,1.20541,4.35624,1.55953,0.05915,0.83333,0.11213,0.05063,1.34199,3.43591,2.04188,8.09053e-05,8.09053e-05,8.09053e-05
13,19.5911,1.14387,4.28677,1.50392,0.06881,1,0.14856,0.06974,1.27284,3.41032,1.97536,8.78949e-05,8.78949e-05,8.78949e-05
14,20.5365,0.77952,3.72324,1.28454,0.064,1,0.18656,0.08438,1.23642,3.42783,1.947,9.48235e-05,9.48235e-05,9.48235e-05
